,No.1 R_Z,No.2 R_Z,No.3 R_Z,No.4 R_Z,No.5 R_Z,No.6 R_Z,No.7 R_Z,No.8 R_Z,No.9 R_Z,No.10 R_Z
150, -24.6, -24.5, -24.7, -24.6, -24.6, -24.7, -24.7, -24.8, -24.7, -24.8
151, -24.6, -24.5, -24.7, -24.6, -24.6, -24.7, -24.7, -24.8, -24.7, -24.8
152, -24.6, -24.5, -24.7, -24.5, -24.6, -24.7, -24.7, -24.8, -24.7, -24.8
153, -24.6, -24.5, -24.7, -24.5, -24.6, -24.7, -24.7, -24.8, -24.7, -24.8
154, -24.6, -24.5, -24.7, -24.6, -24.6, -24.7, -24.7, -24.8, -24.7, -24.8
155, -24.6, -24.5, -24.7, -24.6, -24.6, -24.7, -24.7, -24.8, -24.7, -24.8
156, -24.6, -24.5, -24.7, -24.6, -24.6, -24.7, -24.7, -24.8, -24.7, -24.8
157, -24.6, -24.4, -24.7, -24.6, -24.6, -24.6, -24.7, -24.8, -24.7, -24.8
158, -24.6, -24.4, -24.7, -24.6, -24.6, -24.6, -24.8, -24.8, -24.7, -24.8
159, -24.6, -24.4, -24.6, -24.6, -24.6, -24.6, -24.8, -24.8, -24.7, -24.8
160, -24.6, -24.4, -24.6, -24.6, -24.6, -24.6, -24.8, -24.8, -24.7, -24.8
161, -24.6, -24.4, -24.6, -24.6, -24.6, -24.6, -24.8, -24.8, -24.7, -24.8
162, -24.6, -24.4, -24.6, -24.6, -24.6, -24.6, -24.8, -24.8, -24.7, -24.8
163, -24.6, -24.5, -24.6, -24.6, -24.6, -24.6, -24.8, -24.8, -24.7, -24.8
164, -24.6, -24.5, -24.6, -24.6, -24.6, -24.6, -24.8, -24.8, -24.6, -24.8
165, -24.6, -24.5, -24.6, -24.6, -24.6, -24.6, -24.8, -24.8, -24.6, -24.8
166, -24.6, -24.5, -24.6, -24.6, -24.7, -24.6, -24.8, -24.8, -24.6, -24.8
167, -24.6, -24.5, -24.6, -24.6, -24.7, -24.6, -24.8, -24.8, -24.6, -24.8
168, -24.6, -24.5, -24.6, -24.6, -24.7, -24.5, -24.8, -24.8, -24.6, -24.8
169, -24.6, -24.5, -24.6, -24.6, -24.6, -24.5, -24.8, -24.8, -24.6, -24.8
170, -24.5, -24.5, -24.6, -24.6, -24.6, -24.5, -24.8, -24.7, -24.6, -24.8
171, -24.5, -24.6, -24.6, -24.6, -24.6, -24.5, -24.8, -24.7, -24.6, -24.8
172, -24.5, -24.6, -24.6, -24.6, -24.6, -24.5, -24.8, -24.7, -24.6, -24.8
173, -24.5, -24.6, -24.6, -24.6, -24.6, -24.6, -24.8, -24.7, -24.6, -24.8
174, -24.5, -24.6, -24.6, -24.6, -24.6, -24.6, -24.7, -24.7, -24.6, -24.8
175, -24.5, -24.6, -24.6, -24.6, -24.6, -24.6, -24.7, -24.8, -24.6, -24.8
176, -24.5, -24.6, -24.6, -24.6, -24.6, -24.6, -24.7, -24.8, -24.6, -24.8
177, -24.5, -24.6, -24.6, -24.6, -24.6, -24.6, -24.8, -24.7, -24.6, -24.8
178, -24.5, -24.6, -24.6, -24.6, -24.6, -24.6, -24.8, -24.7, -24.6, -24.8
179, -24.4, -24.6, -24.6, -24.6, -24.6, -24.6, -24.9, -24.7, -24.6, -24.8
180, -24.5, -24.5, -24.6, -24.6, -24.6, -24.6, -24.8, -24.7, -24.6, -24.8
181, -24.5, -24.5, -24.6, -24.6, -24.6, -24.6, -24.7, -24.7, -24.6, -24.8
182, -24.5, -24.5, -24.6, -24.6, -24.6, -24.6, -24.7, -24.7, -24.6, -24.8
183, -24.5, -24.6, -24.6, -24.5, -24.6, -24.6, -24.7, -24.7, -24.6, -24.8
184, -24.5, -24.6, -24.6, -24.5, -24.6, -24.6, -24.7, -24.7, -24.6, -24.8
185, -24.5, -24.6, -24.6, -24.5, -24.6, -24.6, -24.7, -24.7, -24.6, -24.8
186, -24.5, -24.6, -24.6, -24.5, -24.6, -24.6, -24.7, -24.7, -24.6, -24.8
187, -24.5, -24.6, -24.6, -24.5, -24.6, -24.6, -24.7, -24.7, -24.6, -24.8
188, -24.5, -24.6, -24.6, -24.5, -24.6, -24.6, -24.7, -24.7, -24.6, -24.7
189, -24.5, -24.6, -24.6, -24.5, -24.6, -24.6, -24.7, -24.7, -24.6, -24.7
190, -24.5, -24.6, -24.6, -24.5, -24.6, -24.6, -24.8, -24.7, -24.7, -24.7
191, -24.5, -24.6, -24.6, -24.5, -24.7, -24.6, -24.8, -24.7, -24.7, -24.8
192, -24.5, -24.6, -24.6, -24.5, -24.7, -24.6, -24.8, -24.7, -24.7, -24.8
193, -24.5, -24.6, -24.6, -24.5, -24.7, -24.6, -24.8, -24.7, -24.7, -24.8
194, -24.5, -24.6, -24.6, -24.5, -24.7, -24.6, -24.8, -24.7, -24.7, -24.8
195, -24.5, -24.6, -24.6, -24.5, -24.7, -24.6, -24.8, -24.8, -24.7, -24.8
196, -24.5, -24.6, -24.6, -24.5, -24.7, -24.6, -24.8, -24.8, -24.7, -24.8
197, -24.4, -24.6, -24.6, -24.5, -24.7, -24.6, -24.8, -24.8, -24.7, -24.8
198, -24.4, -24.6, -24.6, -24.5, -24.7, -24.7, -24.8, -24.8, -24.7, -24.8
199, -24.4, -24.6, -24.6, -24.5, -24.7, -24.7, -24.8, -24.8, -24.8, -24.8
200, -24.4, -24.6, -24.6, -24.5, -24.7, -24.7, -24.8, -24.8, -24.8, -24.8
201, -24.4, -24.6, -24.6, -24.5, -24.7, -24.7, -24.8, -24.8, -24.8, -24.8
202, -24.4, -24.5, -24.6, -24.5, -24.7, -24.7, -24.8, -24.8, -24.8, -24.8
203, -24.4, -24.5, -24.6, -24.5, -24.7, -24.7, -24.8, -24.8, -24.7, -24.8
204, -24.4, -24.5, -24.6, -24.5, -24.7, -24.7, -24.7, -24.8, -24.7, -24.8
205, -24.4, -24.5, -24.6, -24.5, -24.7, -24.7, -24.7, -24.8, -24.7, -24.8
206, -24.4, -24.5, -24.6, -24.5, -24.6, -24.7, -24.7, -24.8, -24.7, -24.8
207, -24.4, -24.5, -24.6, -24.5, -24.6, -24.7, -24.7, -24.8, -24.7, -24.8
208, -24.4, -24.5, -24.6, -24.5, -24.6, -24.7, -24.7, -24.8, -24.7, -24.8
209, -24.4, -24.5, -24.6, -24.6, -24.7, -24.7, -24.7, -24.8, -24.7, -24.8
210, -24.4, -24.5, -24.6, -24.6, -24.7, -24.7, -24.7, -24.8, -24.7, -24.8
211, -24.4, -24.5, -24.6, -24.6, -24.7, -24.7, -24.6, -24.8, -24.7, -24.8
212, -24.4, -24.5, -24.6, -24.6, -24.7, -24.6, -24.6, -24.8, -24.7, -24.8
213, -24.4, -24.5, -24.6, -24.6, -24.7, -24.6, -24.6, -24.8, -24.7, -24.8
214, -24.4, -24.5, -24.6, -24.6, -24.7, -24.6, -24.6, -24.8, -24.7, -24.8
215, -24.4, -24.5, -24.6, -24.6, -24.7, -24.7, -24.6, -24.6, -24.7, -24.8
216, -24.4, -24.5, -24.7, -24.6, -24.7, -24.7, -24.6, -24.6, -24.7, -24.8
217, -24.4, -24.5, -24.7, -24.6, -24.7, -24.7, -24.6, -24.6, -24.7, -24.8
218, -24.4, -24.6, -24.7, -24.6, -24.7, -24.7, -24.6, -24.6, -24.7, -24.8
219, -24.4, -24.6, -24.6, -24.6, -24.7, -24.7, -24.6, -24.6, -24.7, -24.8
220, -24.4, -24.6, -24.7, -24.6, -24.7, -24.7, -24.6, -24.6, -24.7, -24.8
221, -24.4, -24.6, -24.7, -24.6, -24.7, -24.7, -24.6, -24.6, -24.7, -24.8
222, -24.4, -24.6, -24.7, -24.6, -24.7, -24.7, -24.6, -24.6, -24.8, -24.8
223, -24.4, -24.6, -24.7, -24.6, -24.7, -24.7, -24.6, -24.6, -24.8, -24.8
224, -24.4, -24.6, -24.7, -24.6, -24.7, -24.7, -24.6, -24.6, -24.8, -24.8
225, -24.4, -24.6, -24.7, -24.6, -24.7, -24.7, -24.7, -24.6, -24.8, -24.8
226, -24.4, -24.6, -24.7, -24.6, -24.7, -24.7, -24.7, -24.6, -24.8, -24.8
227, -24.4, -24.5, -24.7, -24.6, -24.6, -24.7, -24.7, -24.6, -24.8, -24.8
228, -24.5, -24.5, -24.7, -24.6, -24.6, -24.7, -24.7, -24.6, -24.8, -24.8
229, -24.5, -24.5, -24.7, -24.6, -24.6, -24.7, -24.7, -24.6, -24.8, -24.8
230, -24.5, -24.5, -24.7, -24.6, -24.6, -24.6, -24.7, -24.6, -24.9, -24.8
231, -24.5, -24.5, -24.7, -24.6, -24.6, -24.6, -24.7, -24.6, -24.9, -24.8
232, -24.5, -24.5, -24.6, -24.6, -24.6, -24.6, -24.7, -24.6, -24.9, -24.8
233, -24.5, -24.5, -24.6, -24.6, -24.7, -24.6, -24.7, -24.6, -24.9, -24.8
234, -24.5, -24.5, -24.6, -24.6, -24.7, -24.6, -24.7, -24.6, -24.9, -24.8
235, -24.5, -24.5, -24.6, -24.6, -24.7, -24.6, -24.7, -24.6, -24.9, -24.8
236, -24.5, -24.5, -24.6, -24.6, -24.7, -24.6, -24.7, -24.6, -24.9, -24.8
237, -24.5, -24.5, -24.6, -24.6, -24.7, -24.6, -24.7, -24.6, -24.9, -24.8
238, -24.5, -24.5, -24.6, -24.6, -24.7, -24.7, -24.7, -24.6, -24.9, -24.8
239, -24.5, -24.5, -24.6, -24.6, -24.7, -24.7, -24.7, -24.6, -24.9, -24.8
240, -24.5, -24.5, -24.6, -24.6, -24.7, -24.7, -24.7, -24.6, -24.9, -24.8
241, -24.5, -24.5, -24.6, -24.6, -24.6, -24.7, -24.7, -24.6, -24.9, -24.8
242, -24.5, -24.5, -24.6, -24.6, -24.6, -24.7, -24.7, -24.6, -24.9, -24.8
243, -24.5, -24.5, -24.6, -24.6, -24.6, -24.7, -24.7, -24.6, -24.8, -24.8
244, -24.5, -24.5, -24.6, -24.6, -24.7, -24.7, -24.7, -24.6, -24.7, -24.8
245, -24.5, -24.5, -24.6, -24.5, -24.7, -24.7, -24.7, -24.6, -24.7, -24.8
246, -24.6, -24.5, -24.6, -24.5, -24.7, -24.7, -24.7, -24.6, -24.7, -24.8
247, -24.6, -24.5, -24.6, -24.5, -24.7, -24.7, -24.7, -24.7, -24.7, -24.8
248, -24.6, -24.5, -24.6, -24.5, -24.7, -24.7, -24.7, -24.7, -24.7, -24.8
249, -24.6, -24.5, -24.6, -24.5, -24.7, -24.7, -24.7, -24.7, -24.7, -24.8
250, -24.6, -24.5, -24.6, -24.5, -24.6, -24.7, -24.7, -24.7, -24.7, -24.8
251, -24.6, -24.5, -24.6, -24.5, -24.6, -24.7, -24.7, -24.7, -24.7, -24.8
252, -24.6, -24.5, -24.6, -24.5, -24.6, -24.7, -24.7, -24.7, -24.7, -24.8
253, -24.5, -24.5, -24.6, -24.5, -24.6, -24.7, -24.7, -24.7, -24.7, -24.8
254, -24.5, -24.5, -24.6, -24.5, -24.6, -24.7, -24.7, -24.7, -24.7, -24.8
255, -24.5, -24.5, -24.6, -24.5, -24.7, -24.7, -24.7, -24.7, -24.7, -24.8
256, -24.5, -24.5, -24.6, -24.5, -24.6, -24.7, -24.7, -24.7, -24.7, -24.8
257, -24.5, -24.5, -24.6, -24.5, -24.6, -24.7, -24.7, -24.7, -24.7, -24.8
258, -24.5, -24.5, -24.6, -24.5, -24.6, -24.7, -24.7, -24.7, -24.7, -24.8
