,Left_Z[N],Right_Z[N]
1095, 8.5, -24.6
1096, 8.5, -24.7
1097, 8.5, -24.7
1098, 8.5, -24.7
1099, 8.5, -24.7
1100, 8.5, -24.7
1101, 8.5, -24.6
1102, 8.5, -24.6
1103, 8.5, -24.6
1104, 8.5, -24.6
1105, 8.5, -24.5
1106, 8.5, -24.5
1107, 8.5, -24.5
1108, 8.5, -24.5
1109, 8.5, -24.5
1110, 8.5, -24.5
1111, 8.5, -24.5
1112, 8.5, -24.5
1113, 8.5, -24.5
1114, 8.5, -24.5
1115, 8.5, -24.5
1116, 8.5, -24.6
1117, 8.5, -24.6
1118, 8.5, -24.6
1119, 8.5, -24.6
1120, 8.6, -24.6
1121, 8.6, -24.6
1122, 8.5, -24.6
1123, 8.5, -24.6
1124, 8.5, -24.6
1125, 8.5, -24.6
1126, 8.5, -24.6
1127, 8.5, -24.6
1128, 8.5, -24.6
1129, 8.5, -24.6
1130, 8.5, -24.6
1131, 8.5, -24.6
1132, 8.5, -24.6
1133, 8.5, -24.6
1134, 8.5, -24.6
1135, 8.5, -24.6
1136, 8.5, -24.6
1137, 8.5, -24.6
1138, 8.5, -24.6
1139, 8.5, -24.6
1140, 8.5, -24.6
1141, 8.5, -24.6
1142, 8.5, -24.6
1143, 8.5, -24.6
1144, 8.5, -24.6
1145, 8.5, -24.6
1146, 8.5, -24.6
1147, 8.5, -24.6
1148, 8.5, -24.5
