,Left_Z[N],Right_Z[N]
698, 10.4, -23.6
699, 10.4, -23.6
700, 10.4, -23.6
701, 10.4, -23.6
702, 10.4, -23.6
703, 10.4, -23.6
704, 10.4, -23.7
705, 10.4, -23.7
706, 10.4, -23.7
707, 10.4, -23.7
708, 10.4, -23.6
709, 10.4, -23.6
710, 10.4, -23.6
711, 10.4, -23.6
712, 10.4, -23.5
713, 10.4, -23.5
714, 10.4, -23.5
715, 10.4, -23.6
716, 10.4, -23.6
717, 10.4, -23.6
718, 10.4, -23.6
719, 10.4, -23.6
720, 10.4, -23.6
721, 10.4, -23.6
722, 10.4, -23.6
723, 10.4, -23.6
724, 10.4, -23.7
725, 10.4, -23.7
726, 10.4, -23.7
727, 10.4, -23.7
728, 10.3, -23.7
729, 10.3, -23.7
730, 10.3, -23.7
731, 10.3, -23.7
732, 10.3, -23.7
733, 10.3, -23.7
734, 10.3, -23.7
735, 10.2, -23.7
736, 10.2, -23.6
737, 10.2, -23.6
738, 10.2, -23.6
739, 10.2, -23.6
740, 10.2, -23.6
741, 10.2, -23.6
742, 10.2, -23.6
743, 10.2, -23.6
744, 10.2, -23.6
745, 10.2, -23.6
746, 10.2, -23.6
747, 10.2, -23.6
748, 10.2, -23.6
749, 10.2, -23.6
750, 10.2, -23.6
751, 10.2, -23.6
752, 10.2, -23.6
753, 10.2, -23.6
754, 10.2, -23.6
755, 10.2, -23.6
756, 10.2, -23.6
757, 10.2, -23.6
758, 10.3, -23.6
759, 10.3, -23.6
760, 10.3, -23.7
761, 10.3, -23.7
762, 10.3, -23.7
763, 10.4, -23.7
764, 10.4, -23.7
765, 10.4, -23.7
766, 10.4, -23.7
767, 10.4, -23.7
768, 10.4, -23.7
769, 10.4, -23.7
770, 10.4, -23.7
771, 10.4, -23.7
772, 10.4, -23.7
773, 10.4, -23.7
774, 10.4, -23.8
775, 10.4, -23.8
776, 10.4, -23.8
777, 10.4, -23.8
778, 10.4, -23.7
779, 10.4, -23.7
780, 10.4, -23.7
781, 10.4, -23.7
782, 10.4, -23.7
783, 10.4, -23.7
784, 10.4, -23.7
785, 10.4, -23.7
786, 10.4, -23.7
787, 10.4, -23.7
788, 10.4, -23.7
789, 10.4, -23.7
790, 10.4, -23.7
791, 10.4, -23.7
792, 10.4, -23.7
793, 10.4, -23.8
794, 10.4, -23.8
795, 10.4, -23.8
796, 10.4, -23.7
797, 10.4, -23.7
798, 10.4, -23.7
799, 10.4, -23.7
800, 10.4, -23.7
801, 10.4, -23.7
802, 10.4, -23.7
803, 10.4, -23.6
804, 10.4, -23.6
805, 10.4, -23.7
806, 10.4, -23.7
807, 10.4, -23.7
808, 10.4, -23.7
809, 10.4, -23.7
810, 10.4, -23.7
811, 10.4, -23.7
812, 10.4, -23.7
813, 10.4, -23.7
814, 10.4, -23.7
815, 10.4, -23.7
816, 10.4, -23.7
817, 10.4, -23.7
818, 10.4, -23.7
819, 10.4, -23.7
820, 10.4, -23.7
821, 10.4, -23.7
822, 10.4, -23.6
823, 10.4, -23.6
824, 10.4, -23.6
825, 10.4, -23.6
826, 10.4, -23.6
827, 10.4, -23.6
828, 10.4, -23.6
829, 10.4, -23.6
830, 10.3, -23.6
831, 10.3, -23.7
