,Left_Z[N],Right_Z[N]
510, 17.1, -22.4
511, 17.1, -22.4
512, 17.1, -22.4
513, 17.1, -22.4
514, 17.1, -22.4
515, 17.1, -22.4
516, 17.1, -22.4
517, 17.1, -22.4
518, 17.1, -22.4
519, 17.1, -22.4
520, 17.1, -22.4
521, 17.1, -22.3
522, 17.1, -22.3
523, 17.1, -22.3
524, 17.1, -22.3
525, 17.1, -22.3
526, 17.1, -22.3
527, 17.1, -22.3
528, 17.1, -22.3
529, 17.1, -22.3
530, 17.1, -22.3
531, 17.1, -22.4
532, 17.1, -22.4
533, 17.1, -22.4
534, 17.1, -22.4
535, 17.1, -22.5
536, 17.1, -22.5
537, 17.1, -22.5
538, 17.1, -22.5
539, 17.1, -22.5
540, 17.1, -22.5
541, 17.1, -22.5
542, 17.1, -22.5
543, 17.1, -22.5
544, 17.1, -22.5
545, 17.1, -22.5
546, 17.1, -22.5
547, 17.1, -22.5
548, 17.1, -22.5
549, 17.1, -22.5
550, 17.1, -22.5
551, 17.1, -22.5
552, 17.1, -22.5
553, 17.1, -22.5
554, 17.1, -22.5
555, 17.1, -22.5
556, 17.1, -22.4
557, 17.1, -22.4
558, 17.1, -22.4
559, 17.1, -22.4
560, 17.1, -22.4
561, 17.1, -22.4
562, 17.1, -22.4
563, 17.1, -22.4
564, 17.1, -22.4
565, 17.1, -22.4
566, 17.1, -22.4
567, 17.1, -22.4
568, 17.1, -22.4
569, 17.1, -22.3
570, 17.1, -22.3
571, 17.1, -22.3
572, 17.1, -22.3
573, 17.1, -22.3
574, 17.1, -22.3
575, 17.1, -22.3
576, 17.1, -22.3
577, 17.1, -22.3
578, 17.1, -22.3
579, 17.1, -22.3
580, 17.1, -22.3
581, 17.1, -22.3
582, 17.1, -22.3
583, 17.1, -22.3
584, 17.2, -22.3
585, 17.2, -22.3
586, 17.2, -22.3
587, 17.2, -22.3
588, 17.2, -22.3
589, 17.2, -22.3
590, 17.2, -22.3
591, 17.2, -22.3
592, 17.2, -22.4
